Year-Month,CO2
1973-01-01,0.16420305769068322
1973-02-01,0.09940310273953323
1973-03-01,0.22318889545851284
1973-04-01,0.14127037756567273
1973-05-01,0.28434270912520776
1973-06-01,0.20470478925584912
1973-07-01,0.24551623166371028
1973-08-01,0.3094855984458147
1973-09-01,0.1669482219782077
1973-10-01,0.23870259312441933
1973-11-01,0.24512205422755295
1973-12-01,0.19435763155671926
1974-01-01,0.09858659233606448
1974-02-01,0.0
1974-03-01,0.14110144437874816
1974-04-01,0.13041642030576894
1974-05-01,0.21909226567559204
1974-06-01,0.19106343441169016
1974-07-01,0.24209533462848776
1974-08-01,0.26594306951600655
1974-09-01,0.11902750795393757
1974-10-01,0.23283216487879033
1974-11-01,0.17108708505785963
1974-12-01,0.22599037080834528
1975-01-01,0.20523974434777714
1975-02-01,0.0226933581102009
1975-03-01,0.18257454176873056
1975-04-01,0.1720584508826759
1975-05-01,0.20823830841568824
1975-06-01,0.19240082214150966
1975-07-01,0.22283695131908665
1975-08-01,0.22078159754483773
1975-09-01,0.15634766449869075
1975-10-01,0.2327617760509053
1975-11-01,0.10711771827575545
1975-12-01,0.26146634006250524
1976-01-01,0.19500520877326344
1976-02-01,0.0841146493228595
1976-03-01,0.26989892164315665
1976-04-01,0.24790945181180835
1976-05-01,0.23180448799166609
1976-06-01,0.27698003772841173
1976-07-01,0.31466621617816815
1976-08-01,0.2742348734408875
1976-09-01,0.24731818565757235
1976-10-01,0.2661964692963934
1976-11-01,0.26585860292254404
1976-12-01,0.38598417659149153
1977-01-01,0.2445730213700481
1977-02-01,0.19655376298673866
1977-03-01,0.3239997747557508
1977-04-01,0.30702198946983117
1977-05-01,0.285595630261565
1977-06-01,0.3443562237801616
1977-07-01,0.3337275107694906
1977-08-01,0.3818171579806853
1977-09-01,0.3141453388518174
1977-10-01,0.33593771996508703
1977-11-01,0.31517301573894185
1977-12-01,0.4181659487006222
1978-01-01,0.31415941661739444
1978-02-01,0.24415068840273668
1978-03-01,0.43124419292169924
1978-04-01,0.339429005828195
1978-05-01,0.4546132837795984
1978-06-01,0.4104513331644002
1978-07-01,0.3910240166680743
1978-08-01,0.4686347382943379
1978-09-01,0.3242390967705604
1978-10-01,0.40338429484472216
1978-11-01,0.3903060506236451
1978-12-01,0.4338626573190303
1979-01-01,0.40076583044739134
1979-02-01,0.3361911197454739
1979-03-01,0.5058281949488976
1979-04-01,0.3190162457414758
1979-05-01,0.4086493791705381
1979-06-01,0.34544021172959427
1979-07-01,0.3287721372863699
1979-08-01,0.41347805276346516
1979-09-01,0.30119379452093353
1979-10-01,0.40628431455359393
1979-11-01,0.3123011515612242
1979-12-01,0.39545851282484445
1980-01-01,0.3484528535630824
1980-02-01,0.29452093363741305
1980-03-01,0.3573500014077764
1980-04-01,0.3482979981417349
1980-05-01,0.327026494354816
1980-06-01,0.26095954050173154
1980-07-01,0.31431427203874196
1980-08-01,0.26929357772334384
1980-09-01,0.26571782526677357
1980-10-01,0.34819945378269557
1980-11-01,0.2104203620801306
1980-12-01,0.3675141481544051
1981-01-01,0.3726525325900274
1981-02-01,0.1759720697130951
1981-03-01,0.30652926767463473
1981-04-01,0.2601430300982628
1981-05-01,0.2872990398963875
1981-06-01,0.31884731255455123
1981-07-01,0.34073823802686043
1981-08-01,0.304304980713461
1981-09-01,0.26449305966157044
1981-10-01,0.28182278908691605
1981-11-01,0.22414618351775206
1981-12-01,0.36818988090210314
1982-01-01,0.23081904440127254
1982-02-01,0.15672776416927103
1982-03-01,0.2964355097558915
1982-04-01,0.3162851592195286
1982-05-01,0.27828926992707714
1982-06-01,0.2691668778331504
1982-07-01,0.2790494692682377
1982-08-01,0.2593687529915252
1982-09-01,0.2130669820086155
1982-10-01,0.2322549764901316
1982-11-01,0.24989441675817226
1982-12-01,0.28227327758538157
1983-01-01,0.1739589492355773
1983-02-01,0.0372075344201368
1983-03-01,0.34017512740377853
1983-04-01,0.20528197764450828
1983-05-01,0.2830616324576962
1983-06-01,0.30567052397443484
1983-07-01,0.2858771855731057
1983-08-01,0.32971534758003207
1983-09-01,0.27046203226623877
1983-10-01,0.2828786215051948
1983-11-01,0.24847256243489046
1983-12-01,0.3762845961089054
1984-01-01,0.28318833234788965
1984-02-01,0.13856744657487963
1984-03-01,0.30710645606329345
1984-04-01,0.28638398513387964
1984-05-01,0.35813835628009105
1984-06-01,0.325843962046344
1984-07-01,0.3407241602612834
1984-08-01,0.3851958217191769
1984-09-01,0.25085170481741126
1984-10-01,0.3268997944646226
1984-11-01,0.2799926795618999
1984-12-01,0.2864121406650335
1985-01-01,0.3060224681138608
1985-02-01,0.1629782920854801
1985-03-01,0.338837739673959
1985-04-01,0.3469324548807613
1985-05-01,0.3952614241067658
1985-06-01,0.3210575217501477
1985-07-01,0.3808739476870231
1985-08-01,0.4316102148267027
1985-09-01,0.25675028859419435
1985-10-01,0.3761860517498663
1985-11-01,0.3036151702001859
1985-12-01,0.3898837176563337
1986-01-01,0.31796041332319724
1986-02-01,0.16955260860996124
1986-03-01,0.4052003266041613
1986-04-01,0.3854492214995635
1986-05-01,0.431103415265929
1986-06-01,0.3960497789790802
1986-07-01,0.4828532815271558
1986-08-01,0.49122955204549923
1986-09-01,0.330292535968691
1986-10-01,0.45262831883323473
1986-11-01,0.3560126136779569
1986-12-01,0.5071515049131401
1987-01-01,0.37919869358335445
1987-02-01,0.2769659599628347
1987-03-01,0.43003350508207316
1987-04-01,0.44325252695892114
1987-05-01,0.4877241884168144
1987-06-01,0.4699721260241574
1987-07-01,0.5416279528113297
